# SIMULATED_DATA: TRUE | KANTHARAKSHAK CLINICAL DEMO SESSION
# Case: Prolonged Multi-Burst Swallow Pattern (Expected: POSSIBLE_RISK)
timestamp,piezo,ax,ay,az,gx,gy,gz,accel_magnitude
0,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
50,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
100,0.018,0.02,0.05,0.98,0.0,0.0,0.0,0.981
150,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
200,0.011,0.02,0.05,0.98,0.0,0.0,0.0,0.981
250,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
300,0.019,0.02,0.05,0.98,0.0,0.0,0.0,0.981
350,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
400,0.022,0.02,0.05,0.98,0.0,0.0,0.0,0.981
450,0.025,0.03,0.06,0.98,0.0,0.0,0.0,0.982
500,0.035,0.04,0.07,0.98,0.0,0.0,0.0,0.983
550,0.062,0.05,0.09,0.97,0.0,0.0,0.0,0.975
600,0.125,0.08,0.12,0.96,0.0,0.0,0.0,0.970
650,0.285,0.12,0.18,0.94,0.0,0.0,0.0,0.965
700,0.490,0.18,0.28,0.91,0.0,0.0,0.0,0.969
750,0.720,0.25,0.39,0.88,0.0,0.0,0.0,0.995
800,0.685,0.32,0.48,0.86,0.0,0.0,0.0,1.036
850,0.410,0.35,0.52,0.85,0.0,0.0,0.0,1.056
900,0.280,0.31,0.47,0.87,0.0,0.0,0.0,1.036
950,0.210,0.26,0.38,0.90,0.0,0.0,0.0,0.996
1000,0.340,0.22,0.32,0.92,0.0,0.0,0.0,0.998
1050,0.610,0.28,0.41,0.88,0.0,0.0,0.0,1.010
1100,0.785,0.34,0.51,0.85,0.0,0.0,0.0,1.048
1150,0.740,0.38,0.56,0.84,0.0,0.0,0.0,1.079
1200,0.580,0.39,0.58,0.84,0.0,0.0,0.0,1.093
1250,0.460,0.37,0.55,0.85,0.0,0.0,0.0,1.077
1300,0.390,0.34,0.51,0.87,0.0,0.0,0.0,1.065
1350,0.340,0.31,0.46,0.88,0.0,0.0,0.0,1.040
1400,0.420,0.29,0.44,0.89,0.0,0.0,0.0,1.034
1450,0.580,0.32,0.48,0.87,0.0,0.0,0.0,1.045
1500,0.650,0.35,0.51,0.86,0.0,0.0,0.0,1.060
1550,0.590,0.36,0.52,0.85,0.0,0.0,0.0,1.060
1600,0.480,0.34,0.49,0.87,0.0,0.0,0.0,1.057
1650,0.390,0.31,0.45,0.89,0.0,0.0,0.0,1.045
1700,0.310,0.27,0.39,0.91,0.0,0.0,0.0,1.026
1750,0.240,0.22,0.32,0.93,0.0,0.0,0.0,1.008
1800,0.180,0.17,0.25,0.94,0.0,0.0,0.0,0.987
1850,0.130,0.12,0.19,0.96,0.0,0.0,0.0,0.985
1900,0.090,0.08,0.14,0.97,0.0,0.0,0.0,0.983
1950,0.065,0.05,0.10,0.97,0.0,0.0,0.0,0.976
2000,0.045,0.03,0.07,0.98,0.0,0.0,0.0,0.982
2050,0.032,0.02,0.06,0.98,0.0,0.0,0.0,0.981
2100,0.024,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2150,0.018,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2200,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2250,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2300,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2350,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2400,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2450,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2500,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2550,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2600,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2650,0.011,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2700,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2750,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2800,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2850,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2900,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2950,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
3000,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
