# SIMULATED_DATA: TRUE | KANTHARAKSHAK CLINICAL DEMO SESSION
# Case: Sensor Misalignment / High Ambient Noise Artifact (Expected: RETEST)
timestamp,piezo,ax,ay,az,gx,gy,gz,accel_magnitude
0,0.342,0.45,0.65,1.21,12.0,-8.0,4.0,1.446
50,-0.285,0.52,0.71,0.92,-15.0,22.0,-11.0,1.274
100,0.412,0.38,0.85,1.45,32.0,-14.0,8.0,1.723
150,-0.380,0.61,0.42,0.88,-8.0,11.0,14.0,1.150
200,0.295,0.44,0.62,1.35,18.0,-22.0,6.0,1.550
250,-0.410,0.58,0.75,0.95,-12.0,15.0,-9.0,1.344
300,0.385,0.41,0.82,1.41,25.0,-18.0,12.0,1.681
350,-0.320,0.63,0.45,0.85,-9.0,14.0,16.0,1.149
400,0.275,0.46,0.64,1.32,16.0,-20.0,5.0,1.537
450,-0.395,0.56,0.73,0.98,-14.0,17.0,-7.0,1.345
500,0.365,0.43,0.80,1.38,22.0,-16.0,10.0,1.650
550,-0.340,0.65,0.48,0.82,-7.0,12.0,18.0,1.151
600,0.285,0.48,0.66,1.29,14.0,-18.0,7.0,1.527
650,-0.420,0.54,0.71,1.01,-16.0,19.0,-5.0,1.348
700,0.355,0.45,0.78,1.35,20.0,-14.0,11.0,1.621
750,-0.360,0.67,0.51,0.79,-5.0,10.0,20.0,1.155
800,0.295,0.50,0.68,1.26,12.0,-16.0,9.0,1.517
850,-0.445,0.52,0.69,1.04,-18.0,21.0,-3.0,1.353
900,0.345,0.47,0.76,1.32,18.0,-12.0,13.0,1.593
950,-0.380,0.69,0.54,0.76,-3.0,8.0,22.0,1.161
1000,0.305,0.52,0.70,1.23,10.0,-14.0,11.0,1.508
1050,-0.470,0.50,0.67,1.07,-20.0,23.0,-1.0,1.359
1100,0.335,0.49,0.74,1.29,16.0,-10.0,15.0,1.567
1150,-0.400,0.71,0.57,0.73,-1.0,6.0,24.0,1.169
1200,0.315,0.54,0.72,1.20,8.0,-12.0,13.0,1.500
1250,-0.495,0.48,0.65,1.10,-22.0,25.0,1.0,1.366
1300,0.325,0.51,0.72,1.26,14.0,-8.0,17.0,1.542
1350,-0.420,0.73,0.60,0.70,1.0,4.0,26.0,1.178
1400,0.325,0.56,0.74,1.17,6.0,-10.0,15.0,1.494
1450,-0.520,0.46,0.63,1.13,-24.0,27.0,3.0,1.373
1500,0.315,0.53,0.70,1.23,12.0,-6.0,19.0,1.518
1550,-0.440,0.75,0.63,0.67,3.0,2.0,28.0,1.189
1600,0.335,0.58,0.76,1.14,4.0,-8.0,17.0,1.488
1650,-0.545,0.44,0.61,1.16,-26.0,29.0,5.0,1.382
1700,0.305,0.55,0.68,1.20,10.0,-4.0,21.0,1.495
1750,-0.460,0.77,0.66,0.64,5.0,0.0,30.0,1.201
1800,0.345,0.60,0.78,1.11,2.0,-6.0,19.0,1.484
1850,-0.570,0.42,0.59,1.19,-28.0,31.0,7.0,1.391
1900,0.295,0.57,0.66,1.17,8.0,-2.0,23.0,1.473
1950,-0.480,0.79,0.69,0.61,7.0,-2.0,32.0,1.214
2000,0.355,0.62,0.80,1.08,0.0,-4.0,21.0,1.481
2050,-0.595,0.40,0.57,1.22,-30.0,33.0,9.0,1.401
2100,0.285,0.59,0.64,1.14,6.0,0.0,25.0,1.453
2150,-0.500,0.81,0.72,0.58,9.0,-4.0,34.0,1.228
2200,0.365,0.64,0.82,1.05,-2.0,-2.0,23.0,1.479
2250,-0.620,0.38,0.55,1.25,-32.0,35.0,11.0,1.412
2300,0.275,0.61,0.62,1.11,4.0,2.0,27.0,1.434
2350,-0.520,0.83,0.75,0.55,11.0,-6.0,36.0,1.243
2400,0.375,0.66,0.84,1.02,-4.0,0.0,25.0,1.478
2450,-0.645,0.36,0.53,1.28,-34.0,37.0,13.0,1.424
2500,0.265,0.63,0.60,1.08,2.0,4.0,29.0,1.417
2550,-0.540,0.85,0.78,0.52,13.0,-8.0,38.0,1.260
2600,0.385,0.68,0.86,0.99,-6.0,2.0,27.0,1.478
2650,-0.670,0.34,0.51,1.31,-36.0,39.0,15.0,1.436
2700,0.255,0.65,0.58,1.05,0.0,6.0,31.0,1.401
2750,-0.560,0.87,0.81,0.49,15.0,-10.0,40.0,1.278
2800,0.395,0.70,0.88,0.96,-8.0,4.0,29.0,1.480
2850,-0.695,0.32,0.49,1.34,-38.0,41.0,17.0,1.450
2900,0.245,0.67,0.56,1.02,-2.0,8.0,33.0,1.386
2950,-0.580,0.89,0.84,0.46,17.0,-12.0,42.0,1.298
3000,0.405,0.72,0.90,0.93,-10.0,6.0,31.0,1.483
