# SIMULATED_DATA: TRUE | KANTHARAKSHAK CLINICAL DEMO SESSION
# Case: Normal Swallow Bolus Transit (Expected: LOW_RISK)
timestamp,piezo,ax,ay,az,gx,gy,gz,accel_magnitude
0,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
50,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
100,0.008,0.01,0.04,0.99,0.0,0.0,0.0,0.991
150,0.019,0.02,0.05,0.98,0.0,0.0,0.0,0.981
200,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
250,0.011,0.02,0.05,0.98,0.0,0.0,0.0,0.981
300,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
350,0.009,0.02,0.05,0.98,0.0,0.0,0.0,0.981
400,0.018,0.02,0.05,0.98,0.0,0.0,0.0,0.981
450,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
500,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
550,0.021,0.02,0.05,0.98,0.0,0.0,0.0,0.981
600,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
650,0.017,0.02,0.05,0.98,0.0,0.0,0.0,0.981
700,0.019,0.02,0.05,0.98,0.0,0.0,0.0,0.981
750,0.022,0.02,0.05,0.98,0.0,0.0,0.0,0.981
800,0.028,0.03,0.06,0.98,0.0,0.0,0.0,0.982
850,0.035,0.04,0.07,0.98,0.0,0.0,0.0,0.983
900,0.042,0.05,0.08,0.97,0.0,0.0,0.0,0.975
950,0.055,0.06,0.09,0.97,0.0,0.0,0.0,0.976
1000,0.082,0.08,0.11,0.96,0.0,0.0,0.0,0.970
1050,0.145,0.11,0.14,0.95,0.0,0.0,0.0,0.966
1100,0.285,0.16,0.22,0.93,0.0,0.0,0.0,0.969
1150,0.485,0.22,0.31,0.91,0.0,0.0,0.0,0.986
1200,0.680,0.28,0.42,0.89,0.0,0.0,0.0,1.023
1250,0.745,0.34,0.52,0.88,0.0,0.0,0.0,1.077
1300,0.710,0.38,0.58,0.87,0.0,0.0,0.0,1.112
1350,0.620,0.39,0.59,0.87,0.0,0.0,0.0,1.121
1400,0.510,0.36,0.54,0.88,0.0,0.0,0.0,1.093
1450,0.385,0.31,0.44,0.90,0.0,0.0,0.0,1.050
1500,0.260,0.24,0.34,0.92,0.0,0.0,0.0,1.009
1550,0.165,0.17,0.25,0.94,0.0,0.0,0.0,0.987
1600,0.098,0.11,0.18,0.96,0.0,0.0,0.0,0.983
1650,0.062,0.07,0.12,0.97,0.0,0.0,0.0,0.980
1700,0.041,0.04,0.08,0.97,0.0,0.0,0.0,0.974
1750,0.029,0.03,0.06,0.98,0.0,0.0,0.0,0.982
1800,0.021,0.02,0.05,0.98,0.0,0.0,0.0,0.981
1850,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
1900,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
1950,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2000,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2050,0.018,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2100,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2150,0.011,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2200,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2250,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2300,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2350,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2400,0.011,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2450,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2500,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2550,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2600,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2650,0.016,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2700,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2750,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2800,0.015,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2850,0.011,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2900,0.013,0.02,0.05,0.98,0.0,0.0,0.0,0.981
2950,0.014,0.02,0.05,0.98,0.0,0.0,0.0,0.981
3000,0.012,0.02,0.05,0.98,0.0,0.0,0.0,0.981
